$productCatalog=tnProductCatalog
$catalogVersion=catalogversion(catalog(id[default=$productCatalog]),version[default='Online'])[unique=true,default=$productCatalog:Online]
$supercategories=source(code, $catalogVersion)[unique=true]
$categories=target(code, $catalogVersion)[unique=true]
$productCatalogName=tnProductCatalog
$catalogVersion=catalogversion(catalog(id[default=$productCatalog]),version[default='Online'])[unique=true,default=$productCatalog:Online]
$lang=ru

INSERT_UPDATE ClassificationAttributeUnit;code[unique=true];systemVersion(catalog(id[default='tnClassification']),version[default='1.0'])[unique=true];name[lang=ru]
;342e79f7-86de-11da-80bc-8cd41ea1455e;;м2
;46699607-7f81-11db-82a6-0030482e7c09;;т
;04df1927-4508-11e2-8620-005056010626;;м
;04df1928-4508-11e2-8620-005056010626;;м3
;04df1929-4508-11e2-8620-005056010626;;кг
;04df192a-4508-11e2-8620-005056010626;;шт
;6d1bbbf0-8ada-11e2-8bdf-005056010274;;усл.
;0026b835-e670-11db-8c4d-000347302863;;см2
;c5b6524a-f14f-11db-8de9-000347302863;;пачка  (10 плит)
;c5b6524c-f14f-11db-8de9-000347302863;;пачка  (8 плит)
;c5b6524e-f14f-11db-8de9-000347302863;;пачка  (7 плит)
;5380ab62-7612-11da-8f25-0007e93fb69e;;мм
;2aea92c4-1ed0-11db-911d-0030482e7c09;;плита
;0382dd0a-d22a-11e1-91d0-00505601010b;;мл
;b4b20fda-53ad-11e0-92b8-cff7ffdef424;;барабан
;b2642f43-55da-11e0-92b8-cff7ffdef424;;пачка  (18 плит)
;4282f257-15bf-11e1-92e7-00505601010b;;кор.#1
;e7ef8f1f-4115-11de-92f9-000423d38bac;;пачка  (13 плит)
;47086e8c-2b87-11db-9797-0030482e7c09;;пачка  (2 плиты)
;47086e8e-2b87-11db-9797-0030482e7c09;;пачка  (4 плиты)
;47086e91-2b87-11db-9797-0030482e7c09;;пачка  (5 плит)
;47086e92-2b87-11db-9797-0030482e7c09;;пачка  (6 плит)
;47086e9c-2b87-11db-9797-0030482e7c09;;пачка  (12 плит)
;b0a2c56c-2c3d-11db-9797-0030482e7c09;;т
;314ec4ed-dbf4-11da-97b6-0030482e7c09;;поддон#1
;fd15d260-d666-11e2-9919-005056010274;;шт
;471ca8c2-5f46-11db-99f1-0002a5e708e2;;упак
;471ca8c7-5f46-11db-99f1-0002a5e708e2;;л.
;471ca8c9-5f46-11db-99f1-0002a5e708e2;;пог. м
;55fd171b-5400-11de-9a1f-000423d38bac;;рул#1
;53269ba6-68eb-11db-9b0d-0002a5e708e2;;рол.
;7220a24d-cfee-11dd-9bd4-000423d38bac;;пачка  (16 плит)
;7220a24e-cfee-11dd-9bd4-000423d38bac;;пачка  (11 плит)
;0b5eb17b-6b87-11e2-9d45-005056010274;;бут
;d880c48e-456d-11dc-9e37-0030482e7c09;;тн2
;40bf9a9f-0704-11de-9e82-000423d38bac;;поддон#2
;1e3095dd-95f9-11e2-9eaa-001a646acc13;;шт.
;bc88211f-e8bc-11d9-a329-505054503030;;м.п.
;ac3b340d-4781-11da-a334-505054503030;;пак
;a992b62d-4a03-11da-a334-505054503030;;уп.50шт
;f457d0e2-c5e5-11d9-a337-000e0c316cd3;;м3
;b33d0c7f-4e40-11e1-a3d5-00505601010b;;кор.#2
;ba8eee86-4e0a-11dc-a489-0015170c4c6a;;контейнер
;943b5f5f-8e60-11da-a6eb-000ea663b0eb;;мешок
;55c8c87b-8487-11dd-a7ae-000423d38bac;;тн3
;19ebc1fc-902a-11db-a7e5-0002a5e708e2;;Гкал
;cb0a2009-b68f-11db-a8c5-0030482e7c09;;банка
;c9768318-6fe0-11db-ab95-0002a5e708e2;;вед.
;4d3659e5-59e6-11db-acc7-0030482cad86;;сСт
;c89da6e2-6f57-11e2-ad3a-005056010274;;мес.
;d4608f87-6927-11e2-ad8f-005056010274;;ч
